cluster_index,residue_index,x,y
1,2,-66.501365,-31.282656
2,2,65.846452,20.110611
3,2,-115.513239,3.790796
4,2,-101.877845,25.474589
5,2,-62.866475,-44.469302
6,2,-68.210251,-85.429875
7,2,-89.840586,3.587663
8,2,106.543923,-118.279588
9,2,-75.324467,-13.943849
10,2,-88.275708,72.014236
11,2,54.253596,48.893991
12,2,-156.477899,165.002494
13,2,-139.42849,42.222925
14,2,-62.458924,125.369188
15,2,-93.224146,175.533362
16,2,-136.382649,99.083594
17,2,-104.942558,-32.413902
18,2,-79.252898,147.211491
19,2,-121.627159,144.003037
0,5,-82.939001,-70.883218
1,5,60.515217,37.978669
2,5,-95.177211,160.229749
3,5,41.046999,-107.432339
4,5,-53.56775,-36.675042
5,5,-121.797614,-26.006615
6,5,-57.268435,-52.527771
7,5,-66.543234,-36.778923
8,5,-96.07661,3.916129
9,5,-117.037546,28.447466
10,5,-144.103413,147.701516
11,5,155.066236,129.160803
12,5,-82.951193,-38.46378
13,5,-103.147133,86.238617
14,5,-89.030819,-18.698184
15,5,-108.270998,125.194936
16,5,-72.48222,-10.093159
17,5,-63.098763,-44.065116
18,5,-68.983948,135.471803
19,5,-65.306417,-26.073098
0,11,-97.598513,90.013192
1,11,-90.809455,-87.028385
2,11,-67.18325,-20.564998
3,11,-112.621616,-44.404402
4,11,138.009997,-156.891494
5,11,-102.88385,-11.812658
6,11,-63.764153,-48.875775
7,11,-64.353517,-40.844726
8,11,-77.211477,-7.103012
9,11,-143.298148,148.069513
10,11,62.553379,37.875315
11,11,-111.526792,129.017779
12,11,-80.135065,-33.279632
13,11,-141.376979,31.631173
14,11,-99.232752,13.47418
15,11,-50.700832,-43.865497
16,11,-53.000957,-58.865822
17,11,-61.597829,-32.263409
18,11,-90.574995,158.725673
19,11,-69.290384,132.210988
0,1,-89.75499,5.811113
1,1,139.927531,-165.055005
2,1,-73.67792,-14.869235
3,1,-59.579658,-64.560123
4,1,-119.75118,27.81405
5,1,-108.169064,-10.014649
6,1,-128.972345,-53.434503
7,1,-108.766849,80.827414
8,1,76.383515,-35.226308
9,1,-69.520527,139.045604
10,1,-62.256327,-37.971129
11,1,-55.142248,-48.604992
12,1,-87.100772,116.426435
13,1,-63.476151,-27.459727
14,1,-66.595273,-44.917687
15,1,-148.614535,153.500128
16,1,58.836267,40.800244
17,1,-81.968356,-33.481905
18,1,-121.996318,134.828098
19,1,-91.690283,162.728806
0,4,-66.628332,-26.489214
1,4,-111.198191,-38.952777
2,4,-103.114861,-139.055248
3,4,63.752986,36.024706
4,4,-69.390405,147.943892
5,4,-130.372342,121.255925
6,4,-82.337917,-9.782753
7,4,-160.305715,142.334094
8,4,-129.443136,158.447657
9,4,-91.064221,168.118796
10,4,-68.349696,124.407675
11,4,-101.40898,120.87995
12,4,-87.612168,85.101978
13,4,118.336566,174.961566
14,4,-107.194287,145.836587
15,4,-150.432185,-167.819729
16,4,-129.403343,61.0372
17,4,-58.499491,-51.859226
18,4,-109.97414,10.497634
19,4,-64.881012,-40.250137
0,12,-55.093938,-52.568216
1,12,-110.713303,11.462149
2,12,150.408675,-67.600664
3,12,-153.802924,155.992204
4,12,60.159596,27.034556
5,12,-69.290405,135.36349
6,12,-79.162432,-69.681563
7,12,-94.251317,-35.284344
8,12,-63.160767,-44.459245
9,12,-82.842784,-6.181209
10,12,-67.923158,-24.984788
11,12,-127.239703,130.641957
12,12,54.43558,73.005713
13,12,-96.832214,123.721063
14,12,-64.501254,-36.632398
15,12,-87.964039,75.571501
16,12,-78.182457,157.385495
17,12,-132.96403,85.367154
18,12,-120.527827,155.989145
19,12,66.701783,-152.285297
0,8,57.218639,50.792285
1,8,-122.93178,116.279709
2,8,47.55441,-102.369093
3,8,87.513636,16.279459
4,8,-110.309003,26.910018
5,8,-86.223051,162.984761
6,8,-92.903728,5.623191
7,8,-137.233008,162.094323
8,8,-161.436193,145.817914
9,8,-110.51035,140.482347
10,8,-61.30732,-51.198644
11,8,-118.886136,-9.571311
12,8,-134.950099,68.748354
13,8,-76.721623,-12.825688
14,8,-89.04172,82.739723
15,8,-66.796416,138.661624
16,8,-115.013405,-62.801827
17,8,-84.171959,117.26719
18,8,-70.896599,-28.835751
19,8,-63.21336,-40.806675
0,13,-133.908017,139.728363
1,13,-85.163812,-42.888609
2,13,-116.491199,86.851149
3,13,-114.132687,26.427235
4,13,-69.520022,138.019532
5,13,-108.108897,126.834796
6,13,-96.685884,-0.262715
7,13,-65.039124,-32.542535
8,13,-75.794118,-19.131411
9,13,-58.840359,-70.470572
10,13,-57.976258,-51.535861
11,13,53.830237,49.103753
12,13,73.987116,8.212398
13,13,-62.246724,-43.379402
14,13,-83.664019,113.150492
15,13,128.18996,-174.384797
16,13,-112.164479,151.881961
17,13,-128.042374,-25.354263
18,13,-154.356524,158.309551
19,13,-82.606569,162.471308
0,18,-111.281909,20.641072
1,18,-126.781125,156.566924
2,18,-117.559864,-10.939465
3,18,58.192611,39.891727
4,18,-114.139647,-52.442179
5,18,64.527768,-150.925365
6,18,-52.326001,-63.38964
7,18,-58.4734,-43.031797
8,18,89.044131,-3.461618
9,18,-92.961504,119.401146
10,18,-91.481744,0.270597
11,18,-65.989593,135.226435
12,18,-62.685987,-31.170402
13,18,-72.517874,-39.159575
14,18,-122.818481,127.461685
15,18,-76.616568,-19.501266
16,18,-88.442945,154.517211
17,18,-61.18297,-50.571062
18,18,-112.906067,82.151664
19,18,-154.692201,151.364792
0,17,-96.241942,136.777557
1,17,-83.43391,-3.268022
2,17,-89.298774,165.672358
3,17,-161.865908,149.544287
4,17,-100.524204,84.289363
5,17,-113.189267,-22.98889
6,17,150.560647,-43.64872
7,17,-67.864097,144.495029
8,17,-121.160835,146.643438
9,17,-141.938298,158.834984
10,17,-103.427137,-90.499624
11,17,63.874659,45.145973
12,17,-61.578158,127.007463
13,17,-64.102814,-32.686652
14,17,-57.494948,-51.900292
15,17,-63.518881,-43.068219
16,17,-107.681566,17.702689
17,17,-71.366031,-19.088642
18,17,-92.105647,113.656875
19,17,-126.871228,118.633488
0,14,-60.694215,-26.853737
1,14,-49.640913,-50.359166
2,14,-70.755951,100.338723
3,14,-83.428623,33.927974
4,14,-115.3359,133.07263
5,14,-65.304805,-93.602763
6,14,-79.41713,173.413927
7,14,-72.970989,140.635631
8,14,-76.481665,65.426375
9,14,-68.605869,-14.453024
10,14,-62.834032,153.916018
11,14,-82.244104,1.36925
12,14,-46.716691,123.693647
13,14,-56.270059,-37.555017
14,14,-81.011269,-162.245106
15,14,-69.83893,124.978269
16,14,-78.690166,152.98964
17,14,-56.281175,135.568327
18,14,-69.277393,163.518813
19,14,-59.175359,145.282755
