cluster_index,residue_index,x,y
0,7,167.368882,-173.538742
1,7,63.854769,-124.189396
2,7,86.695666,24.409172
3,7,130.632095,-169.508234
4,7,-57.538559,-58.009787
5,7,-68.362824,-25.542944
6,7,97.918009,-31.010691
7,7,93.595407,-12.157113
8,7,-79.446869,171.63805
9,7,75.976518,13.611397
10,7,-119.265362,144.050151
11,7,89.913833,167.304118
12,7,83.157328,-169.299667
13,7,-162.67855,174.642268
14,7,-62.311099,-41.64395
15,7,-82.346714,-5.025565
16,7,-109.019764,16.878473
17,7,90.866071,93.827661
18,7,-93.153077,71.620285
19,7,86.428319,-73.501674
20,7,65.53406,31.230862
21,7,81.716827,-0.095356
22,7,102.313823,5.48801
23,7,63.817176,51.436352
24,7,-99.319256,-160.837336
25,7,70.901694,-148.522464
26,7,111.381828,143.328774
27,7,-111.984107,-108.386243
28,7,132.0185,-17.218729
29,7,-69.758819,140.416969
0,0,-69.538122,146.521013
1,0,156.826908,122.905798
2,0,-106.590211,28.629773
3,0,-63.157503,-45.875147
4,0,-62.486409,-24.36414
5,0,-154.983454,153.165025
6,0,-71.023265,-33.479313
7,0,58.044498,40.225784
8,0,-140.02493,77.914147
9,0,-57.637542,-40.892961
10,0,67.227428,-44.349426
11,0,-59.092775,-54.543128
12,0,-78.762299,-21.023952
13,0,-84.895652,79.475118
14,0,-57.942578,-33.227426
15,0,-70.610427,-12.25023
16,0,-84.759642,-51.851986
17,0,-53.820631,-69.907246
18,0,-62.487803,128.318655
19,0,-66.267506,-39.64321
20,0,-139.037366,-21.860623
21,0,-49.88874,-48.367261
22,0,-101.122651,124.643057
23,0,-97.024572,-5.688579
24,0,-98.029853,-31.567475
25,0,-120.01824,-123.069887
26,0,68.32396,-145.361083
27,0,-84.77109,6.425373
28,0,-124.206403,144.60229
29,0,-83.935655,163.277557
0,19,-63.210826,-18.886308
1,19,71.963078,-69.60378
2,19,-67.313577,-47.01182
3,19,-152.17488,146.563716
4,19,-113.867812,-63.357695
5,19,-116.311469,15.146428
6,19,-62.250604,130.376495
7,19,-56.024183,-49.772408
8,19,-85.814415,91.326548
9,19,95.464004,61.769881
10,19,-69.175398,-38.793221
11,19,-82.978527,116.28561
12,19,-98.589,162.831287
13,19,-67.264051,152.567589
14,19,-132.841469,139.716178
15,19,-62.567668,-60.252036
16,19,-111.313027,109.669233
17,19,-103.484148,125.359079
18,19,-92.929928,-44.567951
19,19,-126.446131,74.186516
20,19,-58.861566,-41.913101
21,19,-61.405689,-31.522009
22,19,-131.967724,117.578018
23,19,-112.813347,141.751724
24,19,-85.306351,-7.758981
25,19,-131.522697,165.148674
26,19,-78.622164,-26.877976
27,19,-85.574559,136.054145
28,19,-120.200524,127.397645
29,19,-117.572199,-17.002013
0,10,-109.607201,153.305522
1,10,-54.771127,-45.141171
2,10,-112.550924,-4.38178
3,10,-89.330924,175.98481
4,10,-65.433533,-19.836684
5,10,-69.088641,-91.157187
6,10,-53.216893,-56.50594
7,10,-156.911452,131.170696
8,10,-84.378402,111.160298
9,10,134.527611,149.720875
10,10,-78.931059,-40.868768
11,10,-64.605933,-48.041604
12,10,-67.435161,132.471833
13,10,-129.97947,141.388276
14,10,-112.872947,31.6344
15,10,-63.436045,-40.501868
16,10,-98.330593,-24.127893
17,10,-81.585128,-7.653092
18,10,62.467319,31.506959
19,10,-96.508845,77.195556
20,10,-118.050845,114.112831
21,10,-75.333688,151.295575
22,10,-79.349805,-58.761586
23,10,-77.686954,-25.886991
24,10,-116.859045,-45.388649
25,10,-94.991437,8.729102
26,10,-101.244454,130.769887
27,10,76.197522,-80.632849
28,10,-67.824885,-33.804683
29,10,-56.980235,-31.642586
0,9,-76.250033,153.141488
1,9,-63.545095,-43.06256
2,9,-102.13214,-25.662093
3,9,-60.073201,-48.148736
4,9,-55.819281,-55.653905
5,9,-69.223605,-49.840683
6,9,60.511617,-68.78092
7,9,-69.829867,-15.589053
8,9,-72.594085,-40.087979
9,9,-60.870018,-26.568387
10,9,-82.579924,-62.291018
11,9,-114.749118,2.214649
12,9,-73.134879,-30.842829
13,9,64.85115,82.398521
14,9,-89.619404,-3.596181
15,9,-117.543157,103.578296
16,9,-72.007263,130.076964
17,9,-119.522997,-59.994811
18,9,-145.595331,146.584862
19,9,160.8634,143.712303
20,9,-104.399196,-125.964944
21,9,-124.691114,128.303724
22,9,-46.244995,-68.655607
23,9,-93.631122,-47.387771
24,9,-50.038717,-45.875085
25,9,-90.814147,111.231796
26,9,-60.007358,-36.563075
27,9,-120.559041,158.698257
28,9,-103.78133,129.284157
29,9,-112.300843,32.276957
0,15,-73.995128,161.556814
1,15,-103.11844,-1.075728
2,15,-89.184061,-21.289835
3,15,127.38352,-104.518799
4,15,-53.378564,-62.772355
5,15,-126.226144,22.547177
6,15,-131.24591,-37.9748
7,15,-92.973047,15.607775
8,15,-69.181852,-33.421058
9,15,-147.139651,155.486279
10,15,-87.997029,175.638615
11,15,-69.021616,-14.918117
12,15,-97.264824,143.204724
13,15,-165.928887,163.259785
14,15,-64.075487,-41.838232
15,15,-57.992759,-48.848526
16,15,-64.18199,-24.839972
17,15,-123.222705,165.637565
18,15,90.20288,155.821805
19,15,-81.079045,-4.357439
20,15,-94.984258,112.903034
21,15,-137.720465,97.874617
22,15,-92.766864,-99.531566
23,15,-53.53409,-35.552306
24,15,-61.554635,127.726942
25,15,-66.174541,145.587586
26,15,62.043669,36.790199
27,15,-85.740225,-44.741929
28,15,-86.784964,70.64869
29,15,-126.301072,136.416677
0,16,-118.762223,35.588031
1,16,-151.41147,157.427801
2,16,-124.455309,106.515926
3,16,-136.966125,-16.381956
4,16,-49.513291,-50.598516
5,16,-74.580919,152.246255
6,16,52.143382,-81.705633
7,16,-75.336085,-30.149305
8,16,-68.630922,-39.675889
9,16,-111.933174,-23.449592
10,16,-89.309819,167.444
11,16,-125.811689,162.592148
12,16,75.484758,97.330537
13,16,-115.129614,5.497672
14,16,-65.40581,-51.565753
15,16,-66.101601,-22.534647
16,16,104.924007,10.351687
17,16,-64.95777,130.436942
18,16,-98.967057,126.507453
19,16,-81.541974,90.998624
20,16,-91.748982,-15.709935
21,16,-103.350748,-168.076763
22,16,-57.572238,-33.904414
23,16,-71.41499,-8.903653
24,16,-125.172929,135.36144
25,16,-125.552879,-82.487594
26,16,-60.835457,-44.256037
27,16,-91.882628,-44.624204
